Python 2.6.5 (r265:79096, Mar 19 2010, 21:48:26) [MSC v.1500 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.

    ****************************************************************
    Personal firewall software may warn about the connection IDLE
    makes to its subprocess using this computer's internal loopback
    interface.  This connection is not visible on any external
    interface and no data is sent to or received from the Internet.
    ****************************************************************
    
IDLE 2.6.5      
>>> ================================ RESTART ================================
>>> 

Warning (from warnings module):
  File "C:\Python26\ArcGIS10.0\lib\site-packages\MySQLdb\__init__.py", line 34
    from sets import ImmutableSet
DeprecationWarning: the sets module is deprecated
baidu:(116.27060358,39.895050328)---->origin:(116.258147514,39.8875958117)
baidu:(116.372926931,39.8505561373)---->origin:(116.360205439,39.8432539799)
baidu:(116.282568955,39.8988373563)---->origin:(116.270147251,39.8912705273)
baidu:(116.375912782,39.852202159)---->origin:(116.363202753,39.8448407253)
baidu:(116.237232483,39.8529062679)---->origin:(116.224579808,39.8459750806)
baidu:(116.291768171,39.8317405419)---->origin:(116.279363879,39.8241815934)
baidu:(116.423351343,39.8523369495)---->origin:(116.410687907,39.8447136127)
baidu:(116.3705795,39.8728799432)---->origin:(116.357831143,39.8656168761)
baidu:(116.293826729,39.8382720388)---->origin:(116.281409675,39.8307206893)
baidu:(116.393634713,39.868767746)---->origin:(116.380983371,39.8610968674)
baidu:(116.447677492,39.8630643461)---->origin:(116.434891536,39.8558741256)
baidu:(116.434695688,39.8673658744)---->origin:(116.421964453,39.8599338271)
baidu:(116.398894544,39.8676393346)---->origin:(116.386255796,39.8599155907)
baidu:(116.286320304,39.8767313223)---->origin:(116.273888832,39.8691510152)
baidu:(116.429744289,39.8091839298)---->origin:(116.417080216,39.8016759206)
baidu:(116.434433682,39.8573692943)---->origin:(116.421711461,39.8499350288)
baidu:(116.324431654,39.8870856735)---->origin:(116.311773493,39.8799415621)
baidu:(116.443622788,39.8721971356)---->origin:(116.430847168,39.8649339724)
baidu:(116.376882217,39.8436162651)---->origin:(116.36418605,39.8362391164)
baidu:(116.443622788,39.8721971356)---->origin:(116.430847168,39.8649339724)
baidu:(116.365021399,39.8513573567)---->origin:(116.352269003,39.8442001176)
baidu:(116.445240164,39.8730702415)---->origin:(116.432457769,39.8658361235)
baidu:(116.29396981,39.8443280557)---->origin:(116.281545724,39.8367751589)
baidu:(116.3705795,39.8728799432)---->origin:(116.357831143,39.8656168761)
baidu:(116.298495237,39.8385456271)---->origin:(116.286057714,39.8310297645)
baidu:(116.42191456,39.8450680348)---->origin:(116.409265139,39.8374274681)
baidu:(116.323634559,39.8879948764)---->origin:(116.310983088,39.8808388822)
baidu:(116.438861453,39.8552603772)---->origin:(116.426119281,39.8479118451)
baidu:(116.239845157,39.8521520086)---->origin:(116.227206732,39.8451952783)
baidu:(116.374354677,39.8441480422)---->origin:(116.361646541,39.8368204816)
